,date,News Sentiment
320,11/17/2018,0.05418644845
321,11/18/2018,0.04570982978
322,11/19/2018,0.03483332321
323,11/20/2018,0.05036230013
324,11/21/2018,0.02731427737
325,11/22/2018,0.0297079999
326,11/23/2018,0.02689043619
327,11/24/2018,0.0371023491
328,11/25/2018,0.06717078388
329,11/26/2018,0.07351663709
330,11/27/2018,0.06801998615
331,11/28/2018,0.0723856017
332,11/29/2018,0.06661120057
333,11/30/2018,0.06596240401
334,12/1/2018,0.07277323306
335,12/2/2018,0.07511735708
336,12/3/2018,0.07841265947
337,12/4/2018,0.07353847474
338,12/5/2018,0.0799150914
339,12/6/2018,0.06625123322
340,12/7/2018,0.05049625412
341,12/8/2018,0.0375905931
342,12/9/2018,0.05695333704
343,12/10/2018,0.04744718224
344,12/11/2018,0.02099190466
345,12/12/2018,0.009111281484
346,12/13/2018,-0.001491317758
347,12/14/2018,-0.002657738747
348,12/15/2018,-0.005483658519
349,12/16/2018,-0.002662521088
350,12/17/2018,-0.006528011058
351,12/18/2018,-0.02371165901
352,12/19/2018,-0.02247390524
353,12/20/2018,-0.0363583602
354,12/21/2018,-0.0497616455
355,12/22/2018,-0.04929281771
356,12/23/2018,-0.04694410041
357,12/24/2018,-0.04295037314
358,12/25/2018,-0.06931824237
359,12/26/2018,-0.07964985073
360,12/27/2018,-0.07027044892
361,12/28/2018,-0.07394320518
362,12/29/2018,-0.07599419355
363,12/30/2018,-0.06312897056
364,12/31/2018,-0.05875882879
