,Date,Open,High,Low,Close,Volume,up/down,true_value
9844,2019-01-15,1.4328264419370138,1.4504383525539415,1.4526360935796687,1.4618524163662705,0.9497460834542477,1,1
9845,2019-01-16,1.462534658619178,1.463170172169426,1.4806379911520635,1.4677064101737238,1.1074179728309725,1,1
9846,2019-01-17,1.4570539184757907,1.482549045874382,1.4742213126655688,1.4877512924178666,1.057915578245568,1,1
9847,2019-01-18,1.4991263642931285,1.5130833230436938,1.5160718644398294,1.5228247897987306,1.1739405349973262,1,-1
9848,2019-01-22,1.5057493427844981,1.4954214376307313,1.4852982054326036,1.4846628060297964,1.1313630655561093,-1,1
9849,2019-01-23,1.4913210689152514,1.4907122709117548,1.4808207446532615,1.4905167998372495,0.8216782490689255,-1,1
9850,2019-01-24,1.486671958446272,1.484697791456175,1.4951872004418543,1.4941805925132938,0.8745024436844328,1,1
9851,2019-01-25,1.5053084788607154,1.5099806950774601,1.5259710124213688,1.516819399599705,1.080535197017325,1,-1
9852,2019-01-28,1.492813994475333,1.4824586780695401,1.4921920736166705,1.4957147426145576,0.9716461592227414,-1,-1
9853,2019-01-29,1.4927338373982817,1.4884430349235058,1.4992890012465125,1.491828901897541,0.9128870873547547,-1,1
9854,2019-01-30,1.5014809784315124,1.528114501249041,1.5168434903337753,1.5332610477244324,1.109603652329607,1,1
9855,2019-01-31,1.5334135540018519,1.5467001464448304,1.5476171493410011,1.5565256265626743,1.677577356499456,1,1
9856,2019-02-01,1.5502765990865344,1.5544416550596083,1.5661260178234073,1.5589782481061423,1.0508824511460022,1,1
9857,2019-02-04,1.5544547867278367,1.5628056974410738,1.568024623641405,1.5774889802490208,0.8347869159629622,1,1
9858,2019-02-05,1.5763476883974925,1.5768528706603662,1.5936913375873858,1.590438418274819,0.9433080671092606,1,-1
9859,2019-02-06,1.5830708632351762,1.5759491926119484,1.5938131732548508,1.584291724776993,0.8958398692849612,-1,-1
9860,2019-02-07,1.565516463360926,1.557112525736043,1.5563588584816221,1.5584937796531115,1.2349447974394052,-1,1
9861,2019-02-08,1.5402970429936387,1.5458165501308223,1.550845794528826,1.5603408156302907,0.9767965722987311,1,1
9862,2019-02-11,1.5603763907950068,1.5558373356010535,1.573141721674939,1.5622786894424134,0.8359392667877371,-1,1
9863,2019-02-12,1.570606437753688,1.58610050935584,1.592249615522382,1.5975338624931636,1.0879416208629444,1,1
9864,2019-02-13,1.5983508060480935,1.599816333957379,1.6186676494177308,1.6059111294934854,1.0030030858912666,1,-1
9865,2019-02-14,1.5915374544987269,1.5958501914115462,1.6010014776352914,1.598543171770311,1.0927728381705692,1,1
9866,2019-02-15,1.608310322871726,1.6136827715669875,1.6304552502449785,1.6286912398786966,0.9870973984507104,1,1
9867,2019-02-19,1.617368072578531,1.6254004635948032,1.6376130957085533,1.6328899664716292,0.9288522858707687,1,1
9868,2019-02-20,1.6271572556134297,1.6279608847319866,1.6444866579480426,1.6378759543007357,1.0920965759494572,1,-1
9869,2019-02-21,1.6283495921345685,1.6196269649521349,1.6348311813014338,1.627964537199151,0.9429185400699002,-1,1
9870,2019-02-22,1.62878043642372,1.6322985393643912,1.6496139089538655,1.645920149239599,0.8715593504981529,1,1
9871,2019-02-25,1.6525069312309253,1.6516673722021427,1.6657368289484131,1.6493921731529853,1.075287402181495,-1,-1
9872,2019-02-26,1.6404933893078515,1.6412549929109306,1.6601323882450187,1.6471615996504898,0.9894291505891049,1,-1
9873,2019-02-27,1.6356238468769806,1.6338649146483153,1.6455730259829398,1.6456274495492262,1.0551347879923552,1,-1
9874,2019-02-28,1.6362350445894973,1.6318266186057733,1.6530659195320434,1.6376639993525348,1.3958627454774681,-1,1
9875,2019-03-01,1.646364895201864,1.6461750178412045,1.6580104170366685,1.6570427374737606,1.1661229437212706,1,-1
9876,2019-03-04,1.6625466051316093,1.6550712261845162,1.637988755683237,1.6460614525383994,1.1377361607278695,-1,-1
9877,2019-03-05,1.6425474144072925,1.6345476936182308,1.6535329562573258,1.6428720352226145,0.9569739740734937,-1,-1
9878,2019-03-06,1.6383992856698841,1.6283524785529675,1.6390345118289795,1.6245026063785357,1.0656682483483968,-1,-1
9879,2019-03-07,1.6146126730548904,1.605238402247885,1.6089817138542555,1.6017729614571816,1.129648064563369,-1,-1
9880,2019-03-08,1.5788024988821905,1.5820239172707562,1.5919044144645642,1.5958584090930996,0.8690274247423092,1,1
9881,2019-03-11,1.5956555243322412,1.622056854815658,1.6176320462442775,1.63646292131273,1.045342511030652,1,1
9882,2019-03-12,1.635463532722878,1.6364353766527033,1.6573504738378992,1.6447594435708794,0.8642124377279912,1,1
9883,2019-03-13,1.647927958204366,1.659449044285739,1.6706001026747288,1.6643400435475346,1.054604598411003,1,-1
9884,2019-03-14,1.6585487709136726,1.6531835431500437,1.6743363964769915,1.6618773289112956,0.8942384803453678,-1,1
9885,2019-03-15,1.6589595759335607,1.6689778272629432,1.681778525164651,1.6760076587913557,2.24297585413131,1,1
9886,2019-03-18,1.6708027840679007,1.6736769531147149,1.69314985412806,1.686565033830315,0.9388501465476898,1,-1
9887,2019-03-19,1.6889884209239305,1.6907564682298086,1.6944494345810213,1.6861915893977708,0.9756550416694939,-1,-1
9888,2019-03-20,1.6795499251011314,1.6818401781520878,1.6834436126200074,1.6777739500263633,1.057336697784296,-1,1
9889,2019-03-21,1.6679071096594196,1.69867871245427,1.6884693339029428,1.708709279370924,0.9359341038502546,1,-1
9890,2019-03-22,1.6927558035453447,1.6844708853597035,1.6713006577626526,1.654034995827862,1.3094472538148814,-1,-1
9891,2019-03-25,1.6441505559483203,1.6479522513364258,1.6556143155765215,1.6516631190265663,0.8438434196280952,1,1
9892,2019-03-26,1.6608332476096364,1.668114312683344,1.6748745040082955,1.6719502354972242,0.7840456089884802,1,-1
9893,2019-03-27,1.6679071096594196,1.663786698918144,1.658355618094486,1.6587383770593678,0.8418687339424479,-1,1
9894,2019-03-28,1.6575668467197933,1.6579127916034293,1.669574652473564,1.6689021214802398,0.7256814742576229,1,1
9895,2019-03-29,1.676473897269285,1.674299486881403,1.690347633776363,1.6880386253749502,1.0408358995891611,1,1
9896,2019-04-01,1.6968738733788589,1.7078058607432882,1.7201973723053121,1.7211338765726056,0.9110260137222542,1,1
9897,2019-04-02,1.7165223768910758,1.7113201642649125,1.7304721802615353,1.7211843420364628,0.7736852717610431,-1,1
9898,2019-04-03,1.7243877900767417,1.7237206352626435,1.7369903884709181,1.7274016871836895,0.937795177482755,-1,1
9899,2019-04-04,1.722283666804143,1.7197344109824013,1.738990524011803,1.7334474497538008,0.6483224862601692,1,1
9900,2019-04-05,1.7324736352242984,1.731743288159151,1.7550829850894847,1.7469217286037153,0.719541013289925,1,1
9901,2019-04-08,1.7367820781158096,1.7344643631716088,1.7528391782136696,1.7499799357134715,0.6693407160923328,1,-1
9902,2019-04-09,1.7348983868051024,1.725357296617,1.7452752138585446,1.7322463717139958,0.6444272158665636,-1,1
9903,2019-04-10,1.729678157162132,1.7281988620359132,1.7511639377860244,1.742349557578239,0.6738581477293615,1,1
9904,2019-04-11,1.7402488716982816,1.731924023768835,1.754067687860609,1.7424605815987253,0.606859496959345,-1,1
9905,2019-04-12,1.7492064250587722,1.7491139884231794,1.7706982564695948,1.7617282956994644,1.0125897791377516,1,-1
9906,2019-04-15,1.7566810724938124,1.7481701469059432,1.7687793447070197,1.759881259722285,0.6878973514396484,-1,1
9907,2019-04-16,1.7606288085385926,1.754656547120141,1.7730740519851644,1.761375037452463,0.8577095002097774,-1,-1
9908,2019-04-17,1.7644162304292696,1.7566044753578414,1.7677335885612775,1.75470350313052,0.9659601464676311,-1,1
9909,2019-04-18,1.7531641807381835,1.7469652428413864,1.7641292833987685,1.7593261396198545,0.9143207632635123,1,1
9910,2019-04-22,1.7471223410554366,1.7480797791011018,1.7686473560672658,1.7622935088946667,0.6390008878043603,1,1
9911,2019-04-23,1.7583543514772595,1.774989303209538,1.7810136763149735,1.7882428504101204,0.9836673964652299,1,-1
9912,2019-04-24,1.7824114942273022,1.7755114283041795,1.7988016837648777,1.7817529917580643,0.8830017072793693,-1,-1
9913,2019-04-25,1.77739165727696,1.7717661848368484,1.7853896073714282,1.7806629377387455,0.870190595762622,-1,1
9914,2019-04-26,1.774205413464168,1.778573892801595,1.7901818102917217,1.7945005679284332,0.7745508874040665,1,1
