Date,Open,High,Low,Close*,Adj Close**,Volume
2007-05-04,"1,502.35","1,510.34","1,501.80","1,505.62","1,505.62","2,761,930,000"
2007-05-07,"1,505.57","1,511.00","1,505.54","1,509.48","1,509.48","2,545,090,000"
2007-05-08,"1,509.36","1,509.36","1,500.66","1,507.72","1,507.72","2,795,720,000"
2007-05-09,"1,507.32","1,513.80","1,503.77","1,512.58","1,512.58","2,935,550,000"
2007-05-10,"1,512.33","1,512.33","1,491.42","1,491.47","1,491.47","3,031,240,000"
2007-05-11,"1,491.47","1,506.24","1,491.47","1,505.85","1,505.85","2,720,780,000"
2007-05-14,"1,505.76","1,510.90","1,498.34","1,503.15","1,503.15","2,776,130,000"
2007-05-15,"1,503.11","1,514.83","1,500.43","1,501.19","1,501.19","3,071,020,000"
2007-05-16,"1,500.75","1,514.15","1,500.75","1,514.14","1,514.14","2,915,350,000"
2007-05-17,"1,514.01","1,517.14","1,509.29","1,512.75","1,512.75","2,868,640,000"
2007-05-18,"1,512.74","1,522.75","1,512.74","1,522.75","1,522.75","2,959,050,000"
2007-05-21,"1,522.75","1,529.87","1,522.71","1,525.10","1,525.10","3,465,360,000"
2007-05-22,"1,525.10","1,529.24","1,522.05","1,524.12","1,524.12","2,860,500,000"
2007-05-23,"1,524.09","1,532.43","1,521.90","1,522.28","1,522.28","3,084,260,000"
2007-05-24,"1,522.10","1,529.31","1,505.18","1,507.51","1,507.51","3,365,530,000"
2007-05-25,"1,507.50","1,517.41","1,507.50","1,515.73","1,515.73","2,316,250,000"
2007-05-29,"1,515.55","1,521.80","1,512.02","1,518.11","1,518.11","2,571,790,000"
2007-05-30,"1,517.60","1,530.23","1,510.06","1,530.23","1,530.23","2,980,210,000"
2007-05-31,"1,530.19","1,535.56","1,528.26","1,530.62","1,530.62","3,335,530,000"
2007-06-01,"1,530.62","1,540.56","1,530.62","1,536.34","1,536.34","2,927,020,000"
2007-06-04,"1,536.28","1,540.53","1,532.31","1,539.18","1,539.18","2,738,930,000"
2007-06-05,"1,539.12","1,539.12","1,525.62","1,530.95","1,530.95","2,939,450,000"
2007-06-06,"1,530.57","1,530.57","1,514.13","1,517.38","1,517.38","2,964,190,000"
2007-06-07,"1,517.36","1,517.36","1,490.37","1,490.72","1,490.72","3,538,470,000"
2007-06-08,"1,490.71","1,507.76","1,487.41","1,507.67","1,507.67","2,993,460,000"
2007-06-11,"1,507.64","1,515.53","1,503.35","1,509.12","1,509.12","2,525,280,000"
2007-06-12,"1,509.12","1,511.33","1,492.97","1,493.00","1,493.00","3,056,200,000"
2007-06-13,"1,492.65","1,515.70","1,492.65","1,515.67","1,515.67","3,077,930,000"
2007-06-14,"1,515.58","1,526.45","1,515.58","1,522.97","1,522.97","2,813,630,000"
2007-06-15,"1,522.97","1,538.71","1,522.97","1,532.91","1,532.91","3,406,030,000"
2007-06-18,"1,532.90","1,535.44","1,529.31","1,531.05","1,531.05","2,480,240,000"
